,Order,Size,Average Degree,Diameter,Sparsity,Coherence
0,134,456,6.806,5,0.949,0.04576607500813001
1,142,506,7.127,5,0.949,0.049735336723736
2,158,552,6.987,5,0.955,0.04729740878685422
3,125,422,6.752,6,0.946,0.07931848463163174
4,134,499,7.448,5,0.944,0.05003638472561782
5,117,414,7.077,5,0.939,0.04868164720339954
6,114,349,6.123,5,0.946,0.05672448414100052
7,141,489,6.936,5,0.95,0.04989522324026157
8,141,505,7.163,6,0.949,0.053237046819193015
9,157,597,7.605,5,0.951,0.06861940056005157
10,118,421,7.136,5,0.939,0.05173283640059243
11,150,591,7.88,5,0.947,0.04672344106419779
12,178,742,8.337,5,0.953,0.04611661253261945
13,80,196,4.9,5,0.938,0.056424730055063134
14,109,338,6.202,5,0.943,0.045527911962931676
15,101,365,7.228,5,0.928,0.049488969725303034
16,121,412,6.81,5,0.943,0.050198105118074335
17,120,392,6.533,5,0.945,0.052470097229162814
18,113,392,6.938,6,0.938,0.04388496359110244
19,154,607,7.883,5,0.948,0.04669290512342645
20,156,598,7.667,6,0.951,0.04304381523558489
21,120,392,6.533,5,0.945,0.025042262821607597
22,105,316,6.019,5,0.942,0.05420479246400129
23,100,326,6.52,5,0.934,0.047559057461043885
24,104,341,6.558,6,0.936,0.05290350883590786
25,105,337,6.419,5,0.938,0.05334222276475364
26,91,295,6.484,5,0.928,0.0531690510562698
27,148,586,7.919,5,0.946,0.04799686855584248
28,97,259,5.34,5,0.944,0.05049497837067255
29,71,189,5.324,5,0.924,0.05619355152705857
30,98,306,6.245,5,0.936,0.05185053398386353
31,83,242,5.831,5,0.929,0.05487428510446907
32,62,129,4.161,5,0.932,0.05920118316910383
33,116,362,6.241,5,0.946,0.05440756047880281
34,135,468,6.933,6,0.948,0.05885423799055778
35,85,230,5.412,5,0.936,0.06448722998334418
36,120,419,6.983,5,0.941,0.07200267857645688
37,89,257,5.775,6,0.934,0.06034015224688123
38,134,439,6.552,5,0.951,0.05722225428667221
39,97,283,5.835,5,0.939,0.05395187050947439
40,117,432,7.385,5,0.936,0.049310706870303624
41,105,328,6.248,5,0.94,0.054982007889124815
42,81,213,5.259,5,0.934,0.05511631424242617
43,91,289,6.352,5,0.929,0.05266956717271352
44,88,260,5.909,5,0.932,0.05365372285775173
45,72,197,5.472,5,0.923,0.06050665247806378
46,121,377,6.231,6,0.948,0.07248055647985337
47,117,428,7.316,5,0.937,0.057527996385328066
48,81,229,5.654,5,0.929,0.058650974062009156
49,97,297,6.124,5,0.936,0.05379988817793751
50,137,549,8.015,5,0.941,0.04611739742691926
51,128,475,7.422,5,0.942,0.045243056573302666
52,89,282,6.337,5,0.928,0.05302526401071558
53,66,158,4.788,5,0.926,0.0686491639915914
54,85,241,5.671,5,0.932,0.05810773017599542
55,67,157,4.687,5,0.929,0.06588488946898319
56,86,214,4.977,6,0.941,0.06320253595590805
57,93,281,6.043,5,0.934,0.05559845833004055
58,81,191,4.716,5,0.941,0.05098790823845681
59,90,282,6.267,5,0.93,0.05771195378408448
