,Order,Size,Average Degree,Diameter,Sparsity,Coherence
0,164,588,7.171,6,0.956,0.1569822644425131
1,183,590,6.448,6,0.965,0.2704852392824491
2,173,612,7.075,6,0.959,0.040557354701571485
3,164,540,6.585,6,0.96,0.09754629734434211
4,147,543,7.388,6,0.949,0.1861956856534518
5,165,574,6.958,6,0.958,0.25707147705514055
6,259,881,6.803,6,0.974,0.4408621629074205
7,152,546,7.184,6,0.952,0.2776378049775586
8,201,709,7.055,6,0.965,0.20905936202293637
9,205,716,6.985,6,0.966,0.43386343732575355
10,164,521,6.354,6,0.961,0.15438915476177875
11,194,579,5.969,6,0.969,0.36355232602044396
12,155,484,6.245,6,0.959,0.33467015828044955
13,159,472,5.937,6,0.962,0.12769943072900516
14,101,236,4.673,6,0.953,0.004515883009321433
15,124,418,6.742,6,0.945,0.2143372698813903
16,337,1321,7.84,6,0.977,0.3805616563600707
17,124,370,5.968,6,0.951,0.11694062872277594
18,102,252,4.941,6,0.951,0.35151976472598373
19,151,486,6.437,6,0.957,0.14107611620944518
20,150,452,6.027,6,0.96,0.3742665127931285
21,288,994,6.903,6,0.976,0.23490758991863894
22,124,387,6.242,6,0.949,0.06585637149245235
23,98,245,5.0,6,0.948,0.07272151007940217
24,134,344,5.134,6,0.961,0.39581881659319995
25,127,373,5.874,6,0.953,0.23941956768503506
26,120,366,6.1,6,0.949,0.32700894503265693
27,129,398,6.171,6,0.952,0.23897158862504272
28,114,268,4.702,6,0.958,0.3217208879903829
29,218,694,6.367,6,0.971,0.4352552019025864
30,162,583,7.198,6,0.955,0.18164318875501614
31,170,468,5.506,6,0.967,0.33221111315400137
32,135,369,5.467,6,0.959,0.24115391177421053
33,110,320,5.818,6,0.947,0.18257000925251973
34,162,500,6.173,6,0.962,0.03371205507161886
35,266,925,6.955,6,0.974,0.2792630870366634
36,109,311,5.706,6,0.947,0.3653367771541169
37,92,266,5.783,5,0.936,0.1865137204480748
38,142,390,5.493,6,0.961,0.2036306812272305
39,165,438,5.309,6,0.968,0.13874916535763
40,162,440,5.432,6,0.966,0.09066736266060724
41,190,523,5.505,6,0.971,0.2689970707457262
42,92,217,4.717,6,0.948,0.33108010914790104
43,166,568,6.843,6,0.959,0.3693279707568937
44,109,275,5.046,6,0.953,0.34753493937994046
45,132,316,4.788,6,0.963,0.30839440753936165
46,142,504,7.099,5,0.95,0.12738429799783013
47,109,290,5.321,6,0.951,0.19975375945613147
48,108,298,5.519,6,0.948,0.32746217864811705
49,101,253,5.01,6,0.95,0.3290420300969907
50,88,230,5.227,5,0.94,0.0847141952501948
51,138,337,4.884,6,0.964,0.47818721070407205
52,148,570,7.703,5,0.948,0.10865708045656672
53,254,849,6.685,6,0.974,0.24887903950229814
54,103,307,5.961,5,0.942,0.3824926155024808
55,84,224,5.333,6,0.936,0.3417994514081224
56,258,922,7.147,6,0.972,0.4442542316899479
57,133,382,5.744,6,0.956,0.09506407867355697
58,156,481,6.167,6,0.96,0.28569768527203276
59,97,238,4.907,6,0.949,0.18070249053165213
